Company Name,Company Name-Apollo,# Employees,Industry,Website,Company Linkedin Url,Company City,Company State,Annual Revenue,SIC Codes,Prerequisite: Determine Research Guidelines,Qualify Account,Prerequisite: Research Target Company
Sollers Consulting,Sollers Consulting-Apollo,910,information technology & services,http://www.sollers.eu,http://www.linkedin.com/company/sollers-consulting,Warszawa,woj. mazowieckie,96200000,7375,,,
BusPatrol,BusPatrol-Apollo,360,information technology & services,http://www.buspatrol.com,http://www.linkedin.com/company/buspatrol,Lorton,Virginia,15000000,7389,,,
MHR,MHR-Apollo,1100,information technology & services,http://www.mhrglobal.com,http://www.linkedin.com/company/mhr-solutions,Nottingham,England,169000000,7375,,,
Copado,Copado-Apollo,600,information technology & services,http://www.copado.com,http://www.linkedin.com/company/copadosolutions,Chicago,Illinois,140000000,7375,,,
Eurofiber,Eurofiber-Apollo,540,telecommunications,http://www.eurofiber.com,http://www.linkedin.com/company/eurofiber,Maarssenbroek,Utrecht,321000000,3661,,,
Palmetto,Palmetto-Apollo,630,information technology & services,http://www.palmetto.com,http://www.linkedin.com/company/palmetto,Charlotte,North Carolina,390100000,3621,,,
Integra,Integra-Apollo,490,information technology & services,http://www.integratecnologia.es,http://www.linkedin.com/company/integra-estrategia-tecnologia,Zaragoza,Aragon,,7375,,,
SEISMA GROUP,SEISMA GROUP-Apollo,270,information technology & services,http://www.seismagroup.com,http://www.linkedin.com/company/seisma-group,Melbourne,Victoria,40000000,7375,,,
Platform Science,Platform Science-Apollo,720,information technology & services,http://www.platformscience.com,http://www.linkedin.com/company/platform-science,San Diego,California,300000000,7375,,,
ALTEN Polska,ALTEN Polska-Apollo,520,information technology & services,http://www.altenpolska.pl,http://www.linkedin.com/company/alten-polska,Krakow,Wojewodztwo malopolskie,73000000,8711,,,
Serbatic,Serbatic-Apollo,430,information technology & services,http://www.serbatic.es,http://www.linkedin.com/company/serbatic,Alcobendas,Community of Madrid,45600000,,,,
MATH Group,MATH Group-Apollo,790,information technology & services,http://www.math.group,http://www.linkedin.com/company/math-group,Sao Paulo,State of Sao Paulo,,7375,,,
BlueSky,BlueSky-Apollo,230,information technology & services,http://www.bsky.co.za,http://www.linkedin.com/company/blueskydigitalsolutions,Sandton,Gauteng,,7375,,,
Harness,Harness-Apollo,1700,information technology & services,http://www.harness.io,http://www.linkedin.com/company/harnessinc,San Francisco,California,250000000,7375,,,
EastWest BPO —MCI PHILIPPINES,EastWest BPO —MCI PHILIPPINES-Apollo,410,information technology & services,http://www.eastwestbpo.com,http://www.linkedin.com/company/ewbpo-mciph,San Fernando,Central Luzon,,7389,,,
Axians Portugal,Axians Portugal-Apollo,1100,information technology & services,http://www.axians.pt,http://www.linkedin.com/company/axianspt,Lisbon,Lisbon,213600000,7375,,,
Magic,Magic-Apollo,1800,information technology & services,http://www.getmagic.com,http://www.linkedin.com/company/get-magic,San Francisco,California,128600000,7389,,,
PreSales Collective,PreSales Collective-Apollo,1300,think tanks,http://www.presalescollective.com,http://www.linkedin.com/company/presalescollective,Chicago,Illinois,,8732,,,
Koniag Government Services,Koniag Government Services-Apollo,1400,information technology & services,http://www.koniag-gs.com,http://www.linkedin.com/company/koniag-government-services,Chantilly,Virginia,830000000,8741,,,
Sun Technologies,Sun Technologies-Apollo,830,information technology & services,http://www.suntechnologies.com,http://www.linkedin.com/company/sun-technologies,Alpharetta,Georgia,35000000,7375,,,
"CAMP Systems International, Inc.","CAMP Systems International, Inc.-Apollo",1200,information technology & services,http://www.campsystems.com,http://www.linkedin.com/company/camp-systems-international,Merrimack,New Hampshire,166700000,3731,,,
Clever Inc.,Clever Inc.-Apollo,340,information technology & services,http://www.clever.com,http://www.linkedin.com/company/clever-inc-,San Francisco,California,35000000,7375,,,
"Lytx, Inc.","Lytx, Inc.-Apollo",820,information technology & services,http://www.lytx.com,http://www.linkedin.com/company/lytxinc,San Diego,California,219999000,7372,,,
Thinkproject,Thinkproject-Apollo,700,information technology & services,http://www.thinkproject.com,http://www.linkedin.com/company/thinkproject-group,Munich,Bavaria,68900000,8711,,,
Spaulding Ridge,Spaulding Ridge-Apollo,630,management consulting,http://www.spauldingridge.com,http://www.linkedin.com/company/spaulding-ridge-llc,Chicago,Illinois,165800000,7375,,,
Eliassen Group,Eliassen Group-Apollo,1100,management consulting,http://www.eliassen.com,http://www.linkedin.com/company/eliassen-group,Reading,Massachusetts,250000000,8742,,,
Sumeru Inc,Sumeru Inc-Apollo,700,information technology & services,http://www.sumeru.us,http://www.linkedin.com/company/sumeru-inc,Los Angeles,California,45900000,7375,,,
"Enterprise Minds, Inc","Enterprise Minds, Inc-Apollo",570,information technology & services,http://www.eminds.ai,http://www.linkedin.com/company/enterpriseminds,San Ramon,California,74300000,7375,,,
"Sprout Social, Inc.","Sprout Social, Inc.-Apollo",1400,information technology & services,http://www.sproutsocial.com,http://www.linkedin.com/company/sprout-social-inc-,Chicago,Illinois,457547000,7375,,,
project44,project44-Apollo,780,information technology & services,http://www.project44.com,http://www.linkedin.com/company/project-44,Chicago,Illinois,210100000,7389,,,
EVT IT,EVT IT-Apollo,350,information technology & services,http://www.evtit.com,http://www.linkedin.com/company/evtit,Sao Paulo,State of Sao Paulo,,7371,,,
EROAD,EROAD-Apollo,540,information technology & services,http://www.eroad.com,http://www.linkedin.com/company/eroad,Auckland,Auckland,109136000,7359,,,
Slipstream IT,Slipstream IT-Apollo,260,information technology & services,http://www.slipstream-it.com,http://www.linkedin.com/company/slipstream-it,Blue Bell,Pennsylvania,41200000,7375,,,
ImmoScout24,ImmoScout24-Apollo,620,information technology & services,http://www.immobilienscout24.de,http://www.linkedin.com/company/immoscout24,Berlin,Berlin,253616000,6799,,,
Yael Group,Yael Group-Apollo,510,information technology & services,http://www.yaelgroup.com,http://www.linkedin.com/company/yael-software,Kefar Sava,Center District,200000000,7375,,,
EvenUp,EvenUp-Apollo,730,information technology & services,http://www.evenuplaw.com,http://www.linkedin.com/company/evenup,San Francisco,California,10000000,7375,,,
Smart Working,Smart Working-Apollo,500,information technology & services,http://www.smartworking.io,http://www.linkedin.com/company/smartworkingsolutions,London,England,1000000,7389,,,
"Delta System & Software, Inc.","Delta System & Software, Inc.-Apollo",370,information technology & services,http://www.deltassi.com,http://www.linkedin.com/company/delta-ssi,Plano,Texas,25000000,,,,
USEReady,USEReady-Apollo,370,information technology & services,http://www.useready.com,http://www.linkedin.com/company/useready,New York,New York,44100000,7374,,,
VML MAP,VML MAP-Apollo,890,management consulting,http://www.vml-map.com,http://www.linkedin.com/company/vml-map,Copenhagen,Capital Region of Denmark,131000000,7375,,,
"Timee, Inc.","Timee, Inc.-Apollo",710,information technology & services,http://www.timee.co.jp,http://www.linkedin.com/company/timee,Minato,Tokyo,222299000,,,,
Chainguard,Chainguard-Apollo,720,computer & network security,http://www.chainguard.dev,http://www.linkedin.com/company/chainguard-dev,Kirkland,Washington,40000000,7375,,,
MethodHub,MethodHub-Apollo,240,information technology & services,http://www.methodhub.in,http://www.linkedin.com/company/methodhubsoftware,Bengaluru,Karnataka,16000000,7375,,,
Zone & Co,Zone & Co-Apollo,220,information technology & services,http://www.zoneandco.com,http://www.linkedin.com/company/zoneandco,Boston,Massachusetts,22100000,7375,,,
"Svitla Systems, Inc.","Svitla Systems, Inc.-Apollo",1000,information technology & services,http://www.svitla.com,http://www.linkedin.com/company/svitla-systems-inc-,Corte Madera,California,5000000,7375,,,
Highspring,Highspring-Apollo,1500,professional training & coaching,http://www.highspring.com,http://www.linkedin.com/company/highspring,Brentwood,Tennessee,1000000000,8742,,,
Innovative Solutions,Innovative Solutions-Apollo,760,information technology & services,http://www.innovativesol.com,http://www.linkedin.com/company/innovative-solutions,West Henrietta,New York,150200000,7375,,,
"InterDigital, Inc.","InterDigital, Inc.-Apollo",430,telecommunications,http://www.interdigital.com,http://www.linkedin.com/company/interdigital-communications,Wilmington,Delaware,834015000,3661,,,
Optimizely,Optimizely-Apollo,1700,information technology & services,http://www.optimizely.com,http://www.linkedin.com/company/optimizely,New York,New York,400000000,7372,,,
Vistex,Vistex-Apollo,2000,information technology & services,http://www.vistex.com,http://www.linkedin.com/company/vistex,Hoffman Estates,Illinois,300000000,7375,,,
ThoughtSpot,ThoughtSpot-Apollo,780,information technology & services,http://www.thoughtspot.com,http://www.linkedin.com/company/thoughtspot,Mountain View,California,318200000,7375,,,
KMK Consulting Inc.,KMK Consulting Inc.-Apollo,350,management consulting,http://www.kmkconsultinginc.com,http://www.linkedin.com/company/kmk-consulting-inc,Morris Plains,New Jersey,14700000,8742,,,
Verndale,Verndale-Apollo,250,management consulting,http://www.verndale.com,http://www.linkedin.com/company/verndale,Boston,Massachusetts,50000000,7375,,,
Metacube Software Pvt Ltd,Metacube Software Pvt Ltd-Apollo,1500,information technology & services,http://www.metacube.com,http://www.linkedin.com/company/metacube,Jaipur,Rajasthan,15000000,7375,,,
Daxko,Daxko-Apollo,890,information technology & services,http://www.daxko.com,http://www.linkedin.com/company/daxko,Birmingham,Alabama,15000000,7375,,,
maltem Paris,maltem Paris-Apollo,540,management consulting,http://www.maltem.com,http://www.linkedin.com/company/maltemparis,Neuilly-sur-Seine,Ile-de-France,24000000,7380,,,
"York Solutions, LLC","York Solutions, LLC-Apollo",320,information technology & services,http://www.yorksolutions.net,http://www.linkedin.com/company/york-solutions-llc,Westchester,Illinois,46300000,7379,,,
Yotpo,Yotpo-Apollo,600,information technology & services,http://www.yotpo.com,http://www.linkedin.com/company/yotpo,New York,New York,213000000,7375,,,
"GRIFFIN Global Technologies, LLC","GRIFFIN Global Technologies, LLC-Apollo",260,information technology & services,http://www.griffinglobaltech.com,http://www.linkedin.com/company/griffin-solutions-group,Alpharetta,Georgia,15000000,7375,,,
COGENT Infotech,COGENT Infotech-Apollo,840,information technology & services,http://www.cogentinfo.com,http://www.linkedin.com/company/cogentinfo,Pittsburgh,Pennsylvania,10266000,7375,,,
TerraSky,TerraSky-Apollo,1200,information technology & services,http://www.terrasky.co.jp,http://www.linkedin.com/company/terrasky,Chuo-ku,Tokyo-to,164103000,7372,,,
DECADE,DECADE-Apollo,300,information technology & services,http://www.decade.fr,http://www.linkedin.com/company/decade,Paris,Ile-de-France,,,,,
Iron Bow Technologies,Iron Bow Technologies-Apollo,900,information technology & services,http://www.ironbow.com,http://www.linkedin.com/company/iron-bow-technologies,Herndon,Virginia,602977000,7375,,,
Plusgrade,Plusgrade-Apollo,850,information technology & services,http://www.plusgrade.com,http://www.linkedin.com/company/plusgrade,Montreal,Quebec,20000000,7375,,,
Stretch AB,Stretch AB-Apollo,280,information technology & services,http://www.stretch.se,http://www.linkedin.com/company/stretch,Stockholm,Stockholm County,,7375,,,
Mariner Innovations,Mariner Innovations-Apollo,210,information technology & services,http://www.marinerinnovations.com,http://www.linkedin.com/company/mariner-innovations,Saint John,New Brunswick,,7375,,,
Teamware Solutions,Teamware Solutions-Apollo,1500,information technology & services,http://www.teamwaresolutions.net,http://www.linkedin.com/company/teamware-solutions,Chennai,Tamil Nadu,294600000,7361,,,
Booksy,Booksy-Apollo,630,internet,http://www.booksy.com,http://www.linkedin.com/company/booksy,Poland,New York,65900000,7375,,,
InfoBeans,InfoBeans-Apollo,1600,information technology & services,http://www.infobeans.ai,http://www.linkedin.com/company/infobeans,Danville,California,50533000,7375,,,
OKAYA INFOCOM,OKAYA INFOCOM-Apollo,470,information technology & services,http://www.okayainc.com,http://www.linkedin.com/company/okayainc,Albany,New York,100000000,7375,,,
Entelect,Entelect-Apollo,1900,information technology & services,http://www.entelect.co.za,http://www.linkedin.com/company/entelect,Johannesburg,Gauteng,200000000,7371,,,
"GSPANN Technologies, Inc","GSPANN Technologies, Inc-Apollo",1900,information technology & services,http://www.gspann.com,http://www.linkedin.com/company/gspann-technologies-inc,Milpitas,California,4606000,7375,,,
nCino,nCino-Apollo,1900,information technology & services,http://www.ncino.com,http://www.linkedin.com/company/ncino-inc-,Wilmington,North Carolina,540657000,6021,,,
DBC Company,DBC Company-Apollo,1100,information technology & services,http://www.dbccompany.com.br,http://www.linkedin.com/company/dbc-company,,Rio Grande do Sul,,7375,,,
Espire Infolabs,Espire Infolabs-Apollo,1100,information technology & services,http://www.espire.com,http://www.linkedin.com/company/espire-infolabs,Gurugram,Haryana,38000000,7375,,,
KellyMitchell Group,KellyMitchell Group-Apollo,320,information technology & services,http://www.kellymitchell.com,http://www.linkedin.com/company/kelly-mitchell-group-inc,St. Louis,Missouri,134500000,7375,,,
Gett,Gett-Apollo,870,information technology & services,http://www.gett.com,http://www.linkedin.com/company/gettaxi,London,England,143400000,4111,,,
"PruTech Solutions, Inc.","PruTech Solutions, Inc.-Apollo",380,information technology & services,http://www.prutech.com,http://www.linkedin.com/company/prutechus,Woodbridge Township,New Jersey,43400000,,,,
SIG (Strata Information Group),SIG (Strata Information Group)-Apollo,240,information technology & services,http://www.sigcorp.com,http://www.linkedin.com/company/strata-information-group,San Diego,California,25200000,8748,,,
Dev.Pro,Dev.Pro-Apollo,810,information technology & services,http://www.dev.pro,http://www.linkedin.com/company/dev-pro,Charlotte,North Carolina,15000000,7375,,,
ComplianceQuest,ComplianceQuest-Apollo,470,information technology & services,http://www.compliancequest.com,http://www.linkedin.com/company/compliancequest,Tampa,Florida,56900000,7375,,,
Niji,Niji-Apollo,1400,information technology & services,http://www.niji.fr,http://www.linkedin.com/company/niji,Issy-les-Moulineaux,Ile-de-France,148000000,7375,,,
Certisign,Certisign-Apollo,610,information technology & services,http://www.certisign.com.br,http://www.linkedin.com/company/certisign,Sao Paulo,State of Sao Paulo,53600000,7375,,,
NoA - The North Alliance,NoA - The North Alliance-Apollo,1300,information technology & services,http://www.thenorthalliance.com,http://www.linkedin.com/company/noa-the-north-alliance,Oslo,Oslo,129000000,7311,,,
Oktana,Oktana-Apollo,240,information technology & services,http://www.oktana.com,http://www.linkedin.com/company/oktana,Charleston,West Virginia,,7375,,,
Bringg,Bringg-Apollo,210,information technology & services,http://www.bringg.com,http://www.linkedin.com/company/bringg,Tel Aviv-Yafo,Tel Aviv District,40800000,7375,,,
Girikon,Girikon-Apollo,290,information technology & services,http://www.girikon.com,http://www.linkedin.com/company/girikon,Phoenix,Arizona,6500000,7375,,,
CData Software,CData Software-Apollo,490,information technology & services,http://www.cdata.com,http://www.linkedin.com/company/cdatasoftware,Chapel Hill,North Carolina,100000000,7375,,,
VO2 GROUP,VO2 GROUP-Apollo,380,information technology & services,http://www.vo2-group.com,http://www.linkedin.com/company/vo2-group,Paris,Ile-de-France,76000000,7375,,,
OneInfo Consulting,OneInfo Consulting-Apollo,210,information technology & services,http://www.oneinfoconsulting.com,http://www.linkedin.com/company/oneinfo-consulting,Buenos Aires,Autonomous City of Buenos Aires,10000000,7379,,,
Cloud Analogy,Cloud Analogy-Apollo,860,information technology & services,http://www.cloudanalogy.com,http://www.linkedin.com/company/cloudanalogy,Noida,Uttar Pradesh,30100000,7375,,,
Accuris,Accuris-Apollo,750,information technology & services,http://www.accuristech.com,http://www.linkedin.com/company/accurisco,Denver,Colorado,500000000,8731,,,
Yoti,Yoti-Apollo,430,information technology & services,http://www.yoti.com,http://www.linkedin.com/company/yoti-digital-identity,London,England,36000000,7375,,,
Netradyne,Netradyne-Apollo,950,information technology & services,http://www.netradyne.com,http://www.linkedin.com/company/netradyne,San Diego,California,35000000,3731,,,
CSM Technologies,CSM Technologies-Apollo,1500,information technology & services,http://www.csm.tech,http://www.linkedin.com/company/csmtechnologies,Bhubaneshwar,Odisha,233000000,7371,,,
RED Global,RED Global-Apollo,690,staffing & recruiting,http://www.redglobal.com,http://www.linkedin.com/company/red-commerce,London,England,164000000,7375,,,
VAST Data,VAST Data-Apollo,1200,information technology & services,http://www.vastdata.com,http://www.linkedin.com/company/vast-data,Hannibal,Missouri,200000000,3571,,,
BBI,BBI-Apollo,550,information technology & services,http://www.bbinsight.com,http://www.linkedin.com/company/bbinsight,Rolling Meadows,Illinois,,7375,,,
Sg Tech,Sg Tech-Apollo,210,management consulting,http://www.sgtech.tech,http://www.linkedin.com/company/sgtech1,Madrid,Community of Madrid,,7375,,,
Centraprise,Centraprise-Apollo,290,information technology & services,http://www.centraprise.com,http://www.linkedin.com/company/centraprise,Woodbridge Township,New Jersey,41100000,7361,,,
Artlist,Artlist-Apollo,640,information technology & services,http://www.artlist.io,http://www.linkedin.com/company/art-list,New York,New York,7500000,7375,,,
RCA,RCA-Apollo,1600,information technology & services,http://www.rca.fr,http://www.linkedin.com/company/rca-logiciels,Saint-Herblain,Pays de la Loire,40000000,7375,,,
DeepL,DeepL-Apollo,1600,information technology & services,http://www.deepl.com,http://www.linkedin.com/company/deepl,Cologne,North Rhine-Westphalia,185200000,7375,,,
Airolabs.ai,Airolabs.ai-Apollo,310,information technology & services,http://www.airolabs.ai,http://www.linkedin.com/company/airolabsai,Naperville,Illinois,55800000,,,,
Atrium,Atrium-Apollo,320,information technology & services,http://www.atrium.ai,http://www.linkedin.com/company/atrium-ai,Bozeman,Montana,30000000,7375,,,
H1,H1-Apollo,530,information technology & services,http://www.h1.co,http://www.linkedin.com/company/h1co,New York,New York,58100000,7375,,,
PKF Attest,PKF Attest-Apollo,840,management consulting,http://www.pkf-attest.es,http://www.linkedin.com/company/pkf-attest,Bilbao,Basque Country,72000000,8741,,,
Scalo,Scalo-Apollo,660,information technology & services,http://www.scalosoft.com,http://www.linkedin.com/company/scalosoft,Wroclaw,Wojewodztwo dolnoslaskie,45000000,,,,
Nava | Tech for Business,Nava | Tech for Business-Apollo,1400,information technology & services,http://www.nava.com.br,http://www.linkedin.com/company/nava-technology,Barueri,Sao Paulo,65000000,7375,,,
RandomTrees,RandomTrees-Apollo,310,information technology & services,http://www.randomtrees.com,http://www.linkedin.com/company/randomtrees,Houston,Texas,,7375,,,
Neocol,Neocol-Apollo,210,information services,http://www.neocol.com,http://www.linkedin.com/company/neocol,Chicago,Illinois,22400000,7375,,,
Ranosys,Ranosys-Apollo,410,information technology & services,http://www.ranosys.com,http://www.linkedin.com/company/ranosys,Singapore,,50000000,7375,,,
eSimplicity,eSimplicity-Apollo,220,information technology & services,http://www.esimplicity.com,http://www.linkedin.com/company/esimplicity,Silver Spring,Maryland,33700000,,,,
Wing Assistant,Wing Assistant-Apollo,1100,internet,http://www.wingassistant.com,http://www.linkedin.com/company/wingassistant,Berkeley,California,55500000,7389,,,
Adactin,Adactin-Apollo,250,information technology & services,http://www.adactin.com,http://www.linkedin.com/company/adactingroup,Parramatta,New South Wales,35000000,7375,,,
HabileLabs,HabileLabs-Apollo,220,information technology & services,http://www.habilelabs.io,http://www.linkedin.com/company/habilelabs,Jaipur,Rajasthan,11500000,7375,,,
Accelirate Inc.,Accelirate Inc.-Apollo,510,information technology & services,http://www.accelirate.com,http://www.linkedin.com/company/accelirate-inc,Sunrise,Florida,183400000,7375,,,
Teknei,Teknei-Apollo,960,information technology & services,http://www.teknei.com,http://www.linkedin.com/company/teknei-group,Bilbao,Basque Country,108800000,,,,
illion,illion-Apollo,290,information services,http://www.experian.com.au,http://www.linkedin.com/company/illion,Southbank,Victoria,36700000,,,,
360 Degree Cloud,360 Degree Cloud-Apollo,650,information technology & services,http://www.360degreecloud.com,http://www.linkedin.com/company/360-degree-cloud,Los Angeles,California,20224000,7372,,,
Myridius x Aethereus,Myridius x Aethereus-Apollo,210,information technology & services,http://www.aethereus.com,http://www.linkedin.com/company/aethereus-consulting,Pune,Maharashtra,,7375,,,
Quickline Communications Limited,Quickline Communications Limited-Apollo,250,telecommunications,http://www.quickline.co.uk,http://www.linkedin.com/company/quickline-communications-limited,Hull,England,5000000,4812,,,
CapTech,CapTech-Apollo,1100,information technology & services,http://www.captechconsulting.com,http://www.linkedin.com/company/captechconsulting,Richmond,Virginia,200000000,8742,,,
Dentsu Digital,Dentsu Digital-Apollo,710,information technology & services,http://www.dentsudigital.co.jp,http://www.linkedin.com/company/dentsudigital,Minato City,Tokyo,402000000,7311,,,
RIB Software,RIB Software-Apollo,1400,information technology & services,http://www.rib-software.com,http://www.linkedin.com/company/rib-software,Stuttgart,Baden-Wuerttemberg,308460000,7373,,,
Methods,Methods-Apollo,490,information technology & services,http://www.methods.co.uk,http://www.linkedin.com/company/methods,London,England,110000000,7371,,,
Sonatype,Sonatype-Apollo,600,information technology & services,http://www.sonatype.com,http://www.linkedin.com/company/sonatype,Fulton,Maryland,150000000,7375,,,
Centric Consulting,Centric Consulting-Apollo,1400,management consulting,http://www.centricconsulting.com,http://www.linkedin.com/company/centric-consulting,Dayton,Ohio,312900000,"7380, 8742",,,
Bynder,Bynder-Apollo,580,information technology & services,http://www.bynder.com,http://www.linkedin.com/company/bynder,Amsterdam,North Holland,130000000,7374,,,
Experis España,Experis España-Apollo,430,information technology & services,http://www.experis.es,http://www.linkedin.com/company/experis-espana,Madrid,Community of Madrid,117000000,7361,,,
ASSYST,ASSYST-Apollo,290,information technology & services,http://www.assyst.net,http://www.linkedin.com/company/assyst,Sterling,Virginia,100000000,7375,,,
Web Synergies,Web Synergies-Apollo,540,information technology & services,http://www.websynergies.com,http://www.linkedin.com/company/web-synergies,Singapore,,30000000,7375,,,
Thunder,Thunder-Apollo,330,information technology & services,http://www.thundersf.com,http://www.linkedin.com/company/thundersf,San Francisco,California,87700000,7375,,,
ília,ília-Apollo,510,information technology & services,http://www.ilia.digital,http://www.linkedin.com/company/ilia-digital,Sao Paulo,State of Sao Paulo,,7375,,,
Redwood Software,Redwood Software-Apollo,750,information technology & services,http://www.redwood.com,http://www.linkedin.com/company/redwood-software,Frisco,Texas,76700000,7375,,,
Elfonze Technologies,Elfonze Technologies-Apollo,270,information technology & services,http://www.elfonze.com,http://www.linkedin.com/company/elfonzetechnologies,Bengaluru,Karnataka,16500000,,,,
ARIS,ARIS-Apollo,340,information technology & services,http://www.aris.com,http://www.linkedin.com/company/aris-community,Saarbruecken,Saarland,32500000,7375,,,
Regnology,Regnology-Apollo,1200,information technology & services,http://www.regnology.net,http://www.linkedin.com/company/regnology,Frankfurt,Hesse,237500000,7375,,,
Superside,Superside-Apollo,920,design,http://www.superside.com,http://www.linkedin.com/company/superside,Wilmington,Delaware,44900000,7375,,,
Couchbase,Couchbase-Apollo,900,information technology & services,http://www.couchbase.com,http://www.linkedin.com/company/couchbase,San Jose,California,220639000,3571,,,
Ontra,Ontra-Apollo,470,information technology & services,http://www.ontra.ai,http://www.linkedin.com/company/ontra-ai,San Francisco,California,12000000,7375,,,
NRI Australia & New Zealand,NRI Australia & New Zealand-Apollo,740,information technology & services,http://www.nri-anz.com,http://www.linkedin.com/company/nri-anz,Sydney,New South Wales,700000000,7375,,,
Mavlers,Mavlers-Apollo,450,information technology & services,http://www.mavlers.com,http://www.linkedin.com/company/mavlers,San Jose,California,,,,,
Cloud Odyssey,Cloud Odyssey-Apollo,370,information technology & services,http://www.cloudodyssey.com,http://www.linkedin.com/company/cloudodysseyofficial,London,England,56200000,7375,,,
Decagon,Decagon-Apollo,310,information technology & services,http://www.decagon.ai,http://www.linkedin.com/company/decagon-ai,San Francisco,California,6000000,7375,,,
Gruve,Gruve-Apollo,480,information technology & services,http://www.gruve.ai,http://www.linkedin.com/company/gruveai,Redwood City,California,24400000,3571,,,
CoreSite,CoreSite-Apollo,670,information technology & services,http://www.coresite.com,http://www.linkedin.com/company/coresite,Denver,Colorado,638600000,6732,,,
ZeroFox,ZeroFox-Apollo,890,computer & network security,http://www.zerofox.com,http://www.linkedin.com/company/zerofox,Baltimore,Maryland,50000000,7375,,,
symplr,symplr-Apollo,1600,information technology & services,http://www.symplr.com,http://www.linkedin.com/company/symplr,Houston,Texas,201100000,7375,,,
Imagemaker,Imagemaker-Apollo,460,information technology & services,http://www.imagemaker.com,http://www.linkedin.com/company/imagemaker,Providencia,Santiago Metropolitan Region,50000000,,,,
USM Business Systems,USM Business Systems-Apollo,580,information technology & services,http://www.usmsystems.com,http://www.linkedin.com/company/usm-business-systems,Hyderabad,Telangana,22549000,7375,,,
Genzeon,Genzeon-Apollo,510,information technology & services,http://www.genzeon.com,http://www.linkedin.com/company/genzeon,Exton,Pennsylvania,75000000,7375,,,
Goodman Masson,Goodman Masson-Apollo,270,staffing & recruiting,http://www.goodmanmasson.com,http://www.linkedin.com/company/goodman-masson,,England,66000000,7361,,,
"Q1 Technologies, Inc.","Q1 Technologies, Inc.-Apollo",230,information technology & services,http://www.q1tech.com,http://www.linkedin.com/company/q1tech,Aurora,Illinois,30000000,7375,,,
Acro Service Corp,Acro Service Corp-Apollo,620,staffing & recruiting,http://www.acrocorp.com,http://www.linkedin.com/company/acro-service-corp,Livonia,Michigan,750000000,7361,,,
GoCardless,GoCardless-Apollo,620,information technology & services,http://www.gocardless.com,http://www.linkedin.com/company/gocardless,London,England,160000000,7389,,,
Russell Tobin,Russell Tobin-Apollo,910,staffing & recruiting,http://www.russelltobin.com,http://www.linkedin.com/company/russell-tobin-&-associates-llc,New York,New York,6200000,7361,,,
Asana,Asana-Apollo,1900,information technology & services,http://www.asana.com,http://www.linkedin.com/company/asana,San Francisco,California,723876000,7374,,,
RSC Solutions,RSC Solutions-Apollo,240,management consulting,http://www.rsc.com,http://www.linkedin.com/company/rsc-solutions,Rockleigh,New Jersey,36800000,,,,
Quinnox,Quinnox-Apollo,1500,information technology & services,http://www.quinnox.com,http://www.linkedin.com/company/quinnoxinc,Chicago,Illinois,213900000,7371,,,
Visionary Integration Professionals (VIP),Visionary Integration Professionals (VIP)-Apollo,220,information technology & services,http://www.trustvip.com,http://www.linkedin.com/company/visionary-integration-professionals-vip-,Rancho Cordova,California,31600000,7375,,,
The Ksquare Group,The Ksquare Group-Apollo,330,information technology & services,http://www.theksquaregroup.com,http://www.linkedin.com/company/theksquaregroup,Irving,Texas,47900000,7375,,,
CMSS,CMSS-Apollo,370,information technology & services,http://www.cmss.in,http://www.linkedin.com/company/cmss,Mumbai,Maharashtra,,7375,,,
Indigo,Indigo-Apollo,630,telecommunications,http://www.indigotg.com,http://www.linkedin.com/company/indigotelecomgroup,,Wales,18000000,3661,,,
Excelia,Excelia-Apollo,330,information technology & services,http://www.excelia.com,http://www.linkedin.com/company/excelia,Pozuelo de Alarcon,Community of Madrid,26000000,7375,,,
Saicon,Saicon-Apollo,250,information technology & services,http://www.saiconinc.com,http://www.linkedin.com/company/saicon,Overland Park,Kansas,37000000,7375,,,
"Omega CRM, A Merkle Company","Omega CRM, A Merkle Company-Apollo",650,information technology & services,http://www.omegacrmconsulting.com,http://www.linkedin.com/company/omega-crm-consulting,Madrid,Community of Madrid,114700000,7375,,,
JRD Systems,JRD Systems-Apollo,250,information technology & services,http://www.jrdsi.com,http://www.linkedin.com/company/jrd-systems,Clinton Township,Michigan,34280000,7375,,,
Apps Associates,Apps Associates-Apollo,1500,information technology & services,http://www.appsassociates.com,http://www.linkedin.com/company/apps-associates,Acton,Massachusetts,96000000,7375,,,
GuidePoint Security,GuidePoint Security-Apollo,1100,information technology & services,http://www.guidepointsecurity.com,http://www.linkedin.com/company/guidepointsec,Reston,Virginia,194500000,7371,,,
Entelgy,Entelgy-Apollo,1900,information technology & services,http://www.entelgy.com,http://www.linkedin.com/company/entelgy,Madrid,Community of Madrid,107000000,7375,,,
Vinove Software and Services,Vinove Software and Services-Apollo,370,information technology & services,http://www.vinove.com,http://www.linkedin.com/company/vinove,Noida,Uttar Pradesh,62500000,7375,,,
Trinetix,Trinetix-Apollo,920,information technology & services,http://www.trinetix.com,http://www.linkedin.com/company/trinetix-inc,Brentwood,Tennessee,24557000,7375,,,
SOUTH SYSTEM,SOUTH SYSTEM-Apollo,260,information technology & services,http://www.southsystem.com.br,http://www.linkedin.com/company/south-system,,Rio Grande do Sul,,7375,,,
