company_name,careers_url,job_card_selector,title_selector,location_selector,link_selector,enabled,notes
Stripe,https://stripe.com/jobs/search?query=salesforce,[data-job-id],h3,.location,a,true,Tech company
Airtable,https://www.airtable.com/company/careers?search=salesforce,.job-posting,.job-title,.location,a,true,Tech company
Wiz,https://www.wiz.io/careers,"[class*=""job""]",.job-title,.location,a,true,Cloud security
Zenkraft,https://zenkraft.com/careers/,.career-listing,.position-title,.location,a,true,Trailblazer company
Strong Missions,https://www.strongmissions.com/about/careers,.job-card,h3,.location,a,false,Career 
BHHS Cambridge Realty,https://www.bhhs.com/join-us,.job-card,h3,.location,a,false,Career 
Upstate Workforce Future's,https://www.upstateworkforceboard.org/opportunities,.job-card,h3,.location,a,false,Career 
Piedmont Imaging,https://www.piedmontimaging.com/careers/,.job-card,h3,.location,a,false,Career 
Smoky Mountain Steel Horses's,https://www.smokymountainsteelhorses.com/careers,.job-card,h3,.location,a,false,Career 
Unique Financial Solutions,https://www.uniquefinancialsolutionsllc.com/careers,.job-card,h3,.location,a,false,Career 
Grove Medical,https://www.grovemedical.com/?page=customer&file=customer/grmein/customerpages/About/Careers.htm,.job-card,h3,.location,a,false,Career 
The Cargo Agency,https://www.thecargoagency.com/careers/,.job-card,h3,.location,a,false,Career 
HW Resources,https://www.hwresources.net/careers,.job-card,h3,.location,a,false,Career 
The Willows Of Easley,https://www.thewillowsofeasley.com/careers/,.job-card,h3,.location,a,false,Career 
Industrial Fabricators,https://www.ifabrication.com/en/careers,.job-card,h3,.location,a,false,Career 
Sfrep,https://www.wca-inc.com/careers,.job-card,h3,.location,a,false,Career 
#Sunset Finance,https://sunsetfinance.net/careers/,.job-card,h3,.location,a,false,Career 
J M Smith Corporation,https://www.smithdrug.com/contact/employment-opportunities,.job-card,h3,.location,a,false,Career 
Spectrum,https://jobs.spectrum.com/,.job-card,h3,.location,a,false,Career 
A One ATM,https://www.aoneatm.com/about/careers,.job-card,h3,.location,a,false,Career 
Innovative Solar Systems,https://innovativesolarsystemsllc.com/careers/,.job-card,h3,.location,a,false,Career 
Bullman Heating & Air,https://bullmanheating.com/careers/,.job-card,h3,.location,a,false,Career 
Kellar Lawrence Real Estate,https://kellarlawrence.com/real-estate-careers/,.job-card,h3,.location,a,false,Career 
French Broad Chocolates,https://frenchbroadchocolates.com/pages/work-with-us,.job-card,h3,.location,a,false,Career 
Robojuice,https://robojuice.com/careers/,.job-card,h3,.location,a,false,Career 
Animal Hospital of Waynesville,https://www.animalhosp.com/careers,.job-card,h3,.location,a,false,Career 
First Responders Healthcare Services,https://1strespondershealthcare.applytojob.com/apply,.job-card,h3,.location,a,false,Career 
Premier Pain Solutions,https://recruiting.paylocity.com/recruiting/jobs/All/42101e7b-b16e-40f6-8fe8-894f3d865541/Premier-Pain-Solutions-PLLC,.job-card,h3,.location,a,false,Career 
NewBold,https://newboldtech.com/careers/,.job-card,h3,.location,a,false,Career 
North Carolina School for the Deaf,https://nc.wd108.myworkdayjobs.com/NC_Careers?hiringCompany=4c5533ba0a02100160ee4aeb0cfb0000,.job-card,h3,.location,a,false,Career 
Community Credit,https://mycommunitycredit.com/careers/,.job-card,h3,.location,a,false,Career 
Allergic Disease & Asthma Center,https://allergicdisease.com/careers,.job-card,h3,.location,a,false,Career 
WNC Nonprofit Pathways,https://nonprofitpathways.org/resources/jobs/,.job-card,h3,.location,a,false,Career 
AFG Distribution,https://www.afgdistribution.com/brand/job,.job-card,h3,.location,a,false,Career 
Ponce Realty Group,https://www.theponcerealtygroup.com/recruit.php,.job-card,h3,.location,a,false,Career 
Gaia Herbs,https://www.gaiaherbs.com/pages/careers,.job-card,h3,.location,a,false,Career 
The Dry Sink,https://www.thedrysink.com/careers,.job-card,h3,.location,a,false,Career 
Proactive MD,https://proactive-md.com/careers/,.job-card,h3,.location,a,false,Career 
EnCode Wireless,https://www.encodewireless.com/contact.html,.job-card,h3,.location,a,false,Career 
Excel Fire Sprinklers,https://careers.pyebarkerfs.com/,.job-card,h3,.location,a,false,Career 
Ahead Start,https://aheadstart-sc.com/career-opportunities/,.job-card,h3,.location,a,false,Career 
McKinney Mazda,https://sites.hireology.com/mckinneyautomotive1,.job-card,h3,.location,a,false,Career 

