"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","url","categoryName"
"Palmetto Technology Group","5",,"330 Pelham Rd","Greenville","South Carolina","US","http://www.goptg.com/?utm_source=gmb&utm_medium=organic","(864) 552-1291","Computer support and services","Computer security service",,,,,,,"https://www.google.com/maps/search/?api=1&query=Palmetto%20Technology%20Group&query_place_id=ChIJ8410fNQxWIgRGdPrOTLoieM","Computer support and services"
"Cantey Tech Consulting - Greenville Managed IT Services Company","5",,"207 Whitsett St","Greenville","South Carolina","US","https://canteytech.com/managed-it-services-greenville-sc/","(864) 477-6021","Computer service","Computer consultant","Computer security service","Computer support and services","Data recovery service",,,,"https://www.google.com/maps/search/?api=1&query=Cantey%20Tech%20Consulting%20-%20Greenville%20Managed%20IT%20Services%20Company&query_place_id=ChIJBZeIo2cvWIgRs2Zbe2gPAlk","Computer service"
"Corsica Technologies","4.9",,"508 Rhett St","Greenville","South Carolina","US","https://corsicatech.com/blog/locations/greenville-it-services/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=greenville","(855) 411-3387","Computer support and services","Computer consultant","Computer security service",,,,,,"https://www.google.com/maps/search/?api=1&query=Corsica%20Technologies&query_place_id=ChIJv7Jd_C0wWIgRq8i_kP_DJMc","Computer support and services"
"Infor","4.6",,"200 Executive Center Dr","Greenville","South Carolina","US","http://www.infor.com/","(678) 319-8000","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Infor&query_place_id=ChIJCZDJJ706WIgRaNTNNDR168k","Software company"
"TeamLogic IT","5",,"901 E North St","Greenville","South Carolina","US","https://www.teamlogicit.com/GreenvilleSC002","(864) 509-6630","Computer support and services","Computer consultant","Computer security service","Data recovery service",,,,,"https://www.google.com/maps/search/?api=1&query=TeamLogic%20IT&query_place_id=ChIJJ3hQphcuWIgRQve2fd5e6I8","Computer support and services"
"Stark RFID","5",,"12 Oneal St","Greenville","South Carolina","US","https://www.starkrfid.com/","(864) 640-8180","Software company","Event management company",,,,,,,"https://www.google.com/maps/search/?api=1&query=Stark%20RFID&query_place_id=ChIJ_ZXvljQwWIgR-3KBaHDFVlg","Software company"
"Available Technology Inc","5",,"135 Edinburgh Ct","Greenville","South Carolina","US","https://available-tech.net/","(864) 232-1234","Computer repair service","Computer consultant","Computer security service","Computer support and services","Data recovery service",,,,"https://www.google.com/maps/search/?api=1&query=Available%20Technology%20Inc&query_place_id=ChIJffmE3i4uWIgR9iyiOBuMev8","Computer repair service"
"Summit Tech Solutions","5",,"2 N Main St Suite 201","Greenville","South Carolina","US","http://summittechsolutions.com/","(864) 535-0102","Computer service","Business to business service","Computer consultant","Computer networking service","Computer security service","Computer support and services","Information services","Telecommunications service provider","https://www.google.com/maps/search/?api=1&query=Summit%20Tech%20Solutions&query_place_id=ChIJj8EZLfUxWIgRYjG7TnQ0feQ","Computer service"
"Jobscope Manufacturing Software","3.7",,"355 Woodruff Rd","Greenville","South Carolina","US","http://www.jobscope.com/","(800) 443-5794","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Jobscope%20Manufacturing%20Software&query_place_id=ChIJSQJNJgQvWIgRzJjgwfZtIEI","Software company"
"Servosity Inc.","5",,"101 N Main St #301","Greenville","South Carolina","US","http://www.servosity.com/","(800) 429-0500","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Servosity%20Inc.&query_place_id=ChIJv7Jd_C0wWIgR5rRtDwnmnKc","Software company"
"AT.NET","5",,"355 S Main St 1st Floor Suite 108B","Greenville","South Carolina","US","https://expertip.net/contact-at-net/greenville-sc-managed-it-services/","(844) 506-2116","Computer service","Computer consultant","Computer networking service","Computer security service","Computer support and services","Data recovery service",,,"https://www.google.com/maps/search/?api=1&query=AT.NET&query_place_id=ChIJ56N3SmgxWIgRHxDY1Awjvk8","Computer service"
"TPM","4.7",,"1003 Laurens Rd","Greenville","South Carolina","US","https://www.tpm.com/","(800) 922-1145","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=TPM&query_place_id=ChIJ0W1lODQuWIgRoR3KU6kUgc8","Software company"
"VisioStack, Inc.","5",,"935 S Main St","Greenville","South Carolina","US","http://www.visiostack.com/","(864) 214-5883","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=VisioStack%2C%20Inc.&query_place_id=ChIJpc2QUrMvWIgRVMF9oORDCwc","Software company"
"Eleos Technologies","5",,"355 S Main St Suite 702","Greenville","South Carolina","US","https://www.eleostech.com/","(855) 953-2953","Software company","Business to business service",,,,,,,"https://www.google.com/maps/search/?api=1&query=Eleos%20Technologies&query_place_id=ChIJe97qu9ExWIgROHHlRcuzgSg","Software company"
"DataWorks Plus","4.7",,"728 N Pleasantburg Dr","Greenville","South Carolina","US","http://www.dataworksplus.com/","(864) 672-2780","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=DataWorks%20Plus&query_place_id=ChIJkVjdy0IuWIgRWHJyi6_2kAE","Software company"
"CMIT Solutions of Greenville","5",,"15 Halton Green Way Suite 200","Greenville","South Carolina","US","https://cmitsolutions.com/greenville-sc-1006/","(864) 322-2948","Computer security service","Computer networking service","Computer support and services","Security service",,,,,"https://www.google.com/maps/search/?api=1&query=CMIT%20Solutions%20of%20Greenville&query_place_id=ChIJqbo5qtExWIgRgZ1j59KHNmM","Computer security service"
"CIMcloud by Website Pipeline, Inc.","4",,"777 Lowndes Hill Rd bldg 3 suite 214","Greenville","South Carolina","US","https://www.cimcloud.com/","(864) 272-4000","Software company","E-commerce service",,,,,,,"https://www.google.com/maps/search/?api=1&query=CIMcloud%20by%20Website%20Pipeline%2C%20Inc.&query_place_id=ChIJLS8cVdgoWIgRLWmfbRGCLZU","Software company"
"Intelli-NET","5",,"703 Laurens Rd","Greenville","South Carolina","US","https://www.intellinet-sc.com/","(864) 288-1114","Computer support and services","Computer consultant","Computer networking service","Computer security service",,,,,"https://www.google.com/maps/search/?api=1&query=Intelli-NET&query_place_id=ChIJBykTB9koWIgRna6SDp4hrKc","Computer support and services"
"Mailprotector","4.6",,"200 N Main St","Greenville","South Carolina","US","https://www.mailprotector.com/","(800) 393-4840","Software company","Computer security service",,,,,,,"https://www.google.com/maps/search/?api=1&query=Mailprotector&query_place_id=ChIJI4wQDcMpWIgRdQpnujcjgyY","Software company"
"SC Upstate I.T.","4.7",,"25 Woods Lake Rd #410","Greenville","South Carolina","US","https://scupstateit.com/","(864) 214-7479","Computer support and services",,,,,,,,"https://www.google.com/maps/search/?api=1&query=SC%20Upstate%20I.T.&query_place_id=ChIJbbJNpFsuWIgRd3hzKMkHCqM","Computer support and services"
"Computer Applied Products Inc.","4.3",,"135 Edinburgh Ct Suite 202","Greenville","South Carolina","US","https://computerappliedproducts.com/","(888) 240-2613","Software company","Computer service","Restaurant supply store",,,,,,"https://www.google.com/maps/search/?api=1&query=Computer%20Applied%20Products%20Inc.&query_place_id=ChIJ-Viq3MUoWIgRwyqPx5Xjr3E","Software company"
"Tech After Five","5",,"2435 E North St #1101-101","Greenville","South Carolina","US","https://www.techafterfive.com/","(864) 513-1526","Event management company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tech%20After%20Five&query_place_id=ChIJVVWV_GUuWIgRnAM3PDl6r_4","Event management company"
"Simply Binary",,,"104 S Main St 8th Floor Suite 828","Greenville","South Carolina","US","https://www.simplybinary.com/",,"Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Simply%20Binary&query_place_id=ChIJs3eX-XAxWIgR50bHJ7FBmpc","Software company"
"Drake Software, LLC",,,"55 Beattie Pl","Greenville","South Carolina","US","https://www.drakesoftware.com/","(828) 524-8020","Corporate office",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Drake%20Software%2C%20LLC&query_place_id=ChIJcXdoIPQxWIgR9Ywx0ijlnTg","Corporate office"
"Simpliphy, Inc.",,,"355 S Main St","Greenville","South Carolina","US","https://simpliphy.com/",,"Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Simpliphy%2C%20Inc.&query_place_id=ChIJ6TVTLx4xWIgR_xz16VH61zI","Software company"
"ChartSpan","3.8",,"411 University Ridge #220","Greenville","South Carolina","US","http://www.chartspan.com/","(864) 671-1990","Software company","Health consultant",,,,,,,"https://www.google.com/maps/search/?api=1&query=ChartSpan&query_place_id=ChIJp4-CHdIxWIgR5OgCtn48Rgg","Software company"
"Good Sense Automation","5",,"101 N Main St","Greenville","South Carolina","US","http://www.goodsenseautomation.com/","(864) 300-4230","Automation company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Good%20Sense%20Automation&query_place_id=ChIJE1OCLQUpWIgRtU84WDU3ag0","Automation company"
"Hitachi Solutions America- Greenville","5",,"25 E Court St #401","Greenville","South Carolina","US","https://global.hitachi-solutions.com/","(864) 250-2170","Consultant",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hitachi%20Solutions%20America-%20Greenville&query_place_id=ChIJJQyte9IxWIgRIrTw-L6PX78","Consultant"
"Traxler Legal Software Solutions, LLC",,,"126 Wilderness Ln","Greenville","South Carolina","US","http://www.traxlersoftware.com/","(864) 414-3288","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Traxler%20Legal%20Software%20Solutions%2C%20LLC&query_place_id=ChIJeQLcCauuqqcRkdCputHNVqc","Software company"
"Rygen Technologies",,,"101 College St Suite 2A","Greenville","South Carolina","US","https://rygen.com/","(877) 518-9629","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rygen%20Technologies&query_place_id=ChIJ5c4JHYQ1EokRfls4Zvhrxf4","Software company"
"IT-Greenville",,,"60 Directors Dr","Greenville","South Carolina","US","https://it-greenville.com/","(864) 991-5656","Computer support and services",,,,,,,,"https://www.google.com/maps/search/?api=1&query=IT-Greenville&query_place_id=ChIJsTjSecovWIgRAk6sOgW1Hx8","Computer support and services"
"Cartesia, Inc.",,,"183 Marshall Bridge Dr","Greenville","South Carolina","US","http://www.cartesia.com/","(864) 241-6200","Software company","Computer consultant",,,,,,,"https://www.google.com/maps/search/?api=1&query=Cartesia%2C%20Inc.&query_place_id=ChIJu9Sp_fAvWIgRQOlnsGsYNRw","Software company"
"DevSoft Solutions","5",,"141 Traction St #2011","Greenville","South Carolina","US","http://devsoft.com/","(864) 808-2144","Computer support and services",,,,,,,,"https://www.google.com/maps/search/?api=1&query=DevSoft%20Solutions&query_place_id=ChIJw1L8nrsoWIgRPY4ociRGjzU","Computer support and services"
"DevObal Technologies",,,"1320 Hampton Ave Ext","Greenville","South Carolina","US","https://www.devobal.com/about-us","(864) 200-2574","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=DevObal%20Technologies&query_place_id=ChIJZQGM1L0xWIgREA45-1Mo6l0","Software company"
"Zipit Wireless, Inc.","5",,"902 15 S Main St","Greenville","South Carolina","US","http://www.zipitwireless.com/","(864) 451-5500","Software company","Telecommunications service provider",,,,,,,"https://www.google.com/maps/search/?api=1&query=Zipit%20Wireless%2C%20Inc.&query_place_id=ChIJMzXT1DIwWIgRHmIgx211AIk","Software company"
"Sulzer USA Inc.",,,"104 S Main St Suite 851","Greenville","South Carolina","US","https://www.sulzer.de/en",,"Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sulzer%20USA%20Inc.&query_place_id=ChIJ_4ZxHjkxWIgR5mt8cy7sNe8","Software company"
"Suchan Infotech Ltd",,,"18B S Markley St","Greenville","South Carolina","US","https://suchaninfotech.com/contact","(732) 993-9534","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Suchan%20Infotech%20Ltd&query_place_id=ChIJXalZkTUwWIgRRgtRCvAH9x0","Software company"
"Pinnacle Technologies",,,"728 N Pleasantburg Dr","Greenville","South Carolina","US","http://www.pinntec.com/","(864) 250-0090","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pinnacle%20Technologies&query_place_id=ChIJNfKtNQsuWIgRmAaTXMV7FPg","Software company"
"Artificial Inventions LLC",,,"355 S Main St","Greenville","South Carolina","US","https://www.artificialinventions.com/","(515) 228-5001","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Artificial%20Inventions%20LLC&query_place_id=ChIJo5L3aM0xWIgRXkoDo3sx1jQ","Software company"
"Parago Software",,,"330 E Coffee St","Greenville","South Carolina","US","http://www.parago.co.uk/contact/","(864) 527-5977","Software company",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Parago%20Software&query_place_id=ChIJlx_A3tMxWIgRt330u0zvebo","Software company"
